	City	Cloudiness	Country	Date	Humidity	Lat	Lng	Max Temp	Wind Speed
0	Rikitea	0	PF	1542493049	99	-23.12	-134.97	76.29	12.19
1	Saskylakh	56	RU	1542493102	64	71.97	114.09	-8.23	5.37
2	Faanui	68	PF	1542493068	100	-16.48	-151.75	81.69	13.76
3	Hualmay	12	PE	1542493212	65	-11.1	-77.61	71.79	7.38
4	Dudinka	56	RU	1542493315	84	69.41	86.18	7.57	17.11
5	Kapaa	90	US	1542491760	60	22.08	-159.32	80.96	19.46
6	Atuona	8	PF	1542493063	100	-9.8	-139.03	80.74	16.55
7	Boras	90	SE	1542491400	93	57.72	12.94	41.0	3.36
8	Dikson	76	RU	1542493064	100	73.51	80.55	8.65	8.39
9	Carnarvon	12	ZA	1542493104	23	-30.97	22.13	63.15	6.71
10	Bredasdorp	0	ZA	1542488400	67	-34.53	20.04	57.2	3.36
11	Punta Arenas	75	CL	1542492000	47	-53.16	-70.91	55.4	12.75
12	North Bend	1	US	1542488160	55	43.41	-124.22	62.96	6.93
13	Dali	0	CN	1542493317	100	25.6	100.24	35.92	2.57
14	Thompson	75	CA	1542488400	77	55.74	-97.86	5.0	10.29
15	Barrow	36	AR	1542493126	96	-38.31	-60.23	56.26	22.26
16	Longyearbyen	75	NO	1542491400	80	78.22	15.63	35.6	34.45
17	Bethel	90	US	1542491580	100	60.79	-161.76	33.98	6.93
18	Fortuna	0	ES	1542492000	87	38.18	-1.13	62.6	4.7
19	Chokurdakh	56	RU	1542493069	68	70.62	147.9	-9.13	3.36
20	Vaini	20	IN	1542493053	93	15.34	74.49	68.77	1.68
21	Ushuaia	0	AR	1542492000	32	-54.81	-68.31	51.8	11.41
22	Puerto Maldonado	40	PE	1542492000	334	-12.59	-69.19	33.8	1.12
23	Isangel	68	VU	1542493114	100	-19.55	169.27	74.62	9.28
24	Coihaique	75	CL	1542492000	54	-45.58	-72.07	55.4	8.05
25	Kahului	90	US	1542488160	93	20.89	-156.47	75.92	14.99
26	Marsaxlokk	75	MT	1542491100	72	35.84	14.54	64.4	16.11
27	Larsnes	32	NO	1542491400	93	62.2	5.58	41.0	4.7
28	Mataura	88	NZ	1542493065	100	-46.19	168.86	45.42	17.0
29	Revda	68	RU	1542493322	85	67.94	34.55	31.74	15.77
30	San Patricio	100	PY	1542493082	90	-26.98	-56.83	79.21	5.37
31	Klaksvik	8	FO	1542491400	87	62.23	-6.59	46.4	18.34
32	Meulaboh	88	ID	1542493164	100	4.14	96.13	78.49	4.59
33	Kaitangata	20	NZ	1542493050	81	-46.28	169.85	52.17	17.34
34	Sinnamary	92	GF	1542493139	100	5.38	-52.96	79.17	9.62
35	Floro	88	NO	1542491400	93	61.6	5.03	48.2	6.93
36	Portland	1	US	1542491760	32	45.52	-122.67	60.98	14.99
37	Nikolskoye	40	RU	1542490200	80	59.7	30.79	41.0	17.9
38	Port Alfred	64	ZA	1542493077	89	-33.59	26.89	64.23	6.93
39	Hobart	75	AU	1542492000	62	-42.88	147.33	55.4	5.82
40	Laizhou	76	CN	1542493324	100	37.18	119.93	32.05	4.14
41	Morros	0	BR	1542492000	83	-2.87	-44.04	80.6	11.41
42	Arraial do Cabo	20	BR	1542488400	69	-22.97	-42.02	77.0	9.17
43	Fairbanks	40	US	1542491880	88	64.84	-147.72	5.0	5.26
44	Lagoa	40	PT	1542490200	82	37.14	-8.45	64.4	19.46
45	Alofi	0	NU	1542488400	74	-19.06	-169.92	80.6	6.93
46	Mahebourg	40	MU	1542488400	88	-20.41	57.7	73.4	11.41
47	Dunedin	56	NZ	1542493310	100	-45.87	170.5	50.59	4.7
48	Thunder Bay	20	CA	1542488400	57	48.41	-89.26	17.6	10.29
49	Yumen	0	CN	1542493083	62	40.29	97.04	12.07	3.36
50	Hermanus	24	ZA	1542493051	76	-34.42	19.24	56.44	6.38
51	Hobyo	20	SO	1542493108	93	5.35	48.53	75.75	10.96
52	Marquette	75	US	1542491760	62	46.54	-87.4	26.06	11.41
53	Ashland	1	US	1542491460	63	38.48	-82.64	46.94	3.36
54	Canutama	36	BR	1542493328	82	-6.53	-64.38	83.62	3.91
55	Yellowknife	75	CA	1542488400	76	62.45	-114.38	-4.01	6.93
56	Cayenne	0	GF	1542492000	78	4.94	-52.33	80.6	4.7
57	Geraldton	40	CA	1542488400	60	49.72	-86.95	10.4	9.17
58	Cabo San Lucas	20	MX	1542491040	44	22.89	-109.91	80.6	16.11
59	Iqaluit	75	CA	1542488400	70	63.75	-68.52	-5.81	4.7
60	Porto Novo	20	BR	1542492000	73	-23.68	-45.44	73.4	13.87
61	Flinders	0	AU	1542488400	72	-34.58	150.85	60.8	4.7
62	Itarema	0	BR	1542493120	58	-2.92	-39.92	84.52	18.79
63	Puerto Ayora	75	EC	1542492000	69	-0.74	-90.35	77.0	19.46
64	Ardakan	0	IR	1542488400	54	32.31	54.02	55.4	6.93
65	Paita	0	PE	1542488400	290	-5.09	-81.11	62.6	17.22
66	Gazli	20	UZ	1542493331	69	40.13	63.45	26.88	6.15
67	Zabol	0	IR	1542488400	47	31.03	61.49	59.0	9.17
68	Raudeberg	80	NO	1542491400	93	61.99	5.14	48.2	6.93
69	Sola	90	NO	1542491400	100	58.89	5.65	42.8	5.82
70	Chuy	100	UY	1542493131	99	-33.69	-53.46	68.77	12.41
71	Pozo Colorado	80	PY	1542493332	57	-23.49	-58.8	92.44	13.65
72	Cidreira	80	BR	1542493054	60	-30.17	-50.22	78.27	17.0
73	Havre-Saint-Pierre	40	CA	1542491640	92	50.23	-63.6	23.0	5.82
74	General Pico	44	AR	1542493333	42	-35.66	-63.75	70.08	20.8
75	San Quintin	20	PH	1542492000	94	17.54	120.52	75.2	2.24
76	Tautira	40	PF	1542492000	83	-17.73	-149.15	82.4	11.41
77	Sao Filipe	44	CV	1542493267	99	14.9	-24.5	75.57	8.95
78	Tatarskaya Kargala	0	RU	1542490200	61	51.95	55.17	17.6	2.24
79	Butaritari	48	KI	1542493095	100	3.07	172.79	84.61	9.73
80	Qaanaaq	20	GL	1542493084	100	77.48	-69.36	-3.14	10.85
81	Kudahuvadhoo	64	MV	1542493111	100	2.67	72.89	81.33	12.08
82	Saint-Philippe	90	CA	1542490500	96	45.36	-73.48	35.6	9.17
83	Tocopilla	48	CL	1542493335	84	-22.09	-70.2	66.48	7.05
84	Viedma	24	AR	1542493335	47	-40.81	-62.99	60.18	15.77
85	Beloha	0	MG	1542493197	69	-25.17	45.06	70.8	8.72
86	Kodiak	90	US	1542490080	84	39.95	-94.76	33.08	23.04
87	Belaya Gora	56	RU	1542493151	70	68.54	146.19	-9.76	2.57
88	Airai	32	TL	1542493053	89	-8.93	125.41	68.5	1.57
89	Victoria	75	BN	1542490200	94	5.28	115.24	75.2	2.24
90	Sechura	0	PE	1542493336	67	-5.56	-80.82	76.83	15.77
91	Buala	92	SB	1542493224	96	-8.15	159.59	80.88	3.91
92	Male	0	UA	1542493202	65	50.74	33.7	13.38	2.91
93	Qaqortoq	0	GL	1542491400	86	60.72	-46.03	26.6	23.94
94	Vao	0	EE	1542493106	91	59.1	26.19	40.29	11.41
95	Albany	90	US	1542491640	67	42.65	-73.75	39.92	5.82
96	Busselton	64	AU	1542493085	100	-33.64	115.35	61.89	13.42
97	Birjand	0	IR	1542488400	65	32.86	59.22	41.0	6.93
98	Kavieng	92	PG	1542493119	100	-2.57	150.8	82.36	3.36
99	Hasaki	75	JP	1542490200	87	35.73	140.83	50.0	6.93
100	Roald	12	NO	1542491400	93	62.58	6.12	42.8	4.7
101	Hambantota	80	LK	1542493113	100	6.12	81.12	76.87	7.49
102	Pilar	20	AR	1542492000	64	-34.46	-58.91	73.4	3.36
103	Riyadh	0	SA	1542488400	72	24.63	46.72	62.6	4.7
104	Nome	1	US	1542491580	54	30.04	-94.42	68.72	12.75
105	Shelopugino	0	RU	1542493340	48	51.65	117.56	0.37	7.61
106	Ponta do Sol	44	BR	1542493132	54	-20.63	-46.0	78.94	10.18
107	Defiance	40	US	1542491700	93	41.28	-84.36	41.0	3.36
108	Jamestown	0	AU	1542493057	44	-33.21	138.6	54.46	6.93
109	Tecoanapa	5	MX	1542491340	70	16.99	-99.26	86.0	3.36
110	Norman Wells	75	CA	1542488400	66	65.28	-126.83	12.2	19.46
111	Hilo	90	US	1542492240	76	19.71	-155.08	78.98	3.36
112	Beringovskiy	76	RU	1542493342	100	63.05	179.32	25.53	24.83
113	Hithadhoo	0	MV	1542493049	100	-0.6	73.08	81.6	12.3
114	Fort Dix	40	US	1542492000	56	40.03	-74.62	46.94	11.41
115	Mount Isa	76	AU	1542492000	45	-20.73	139.49	86.0	9.17
116	Avera	1	US	1542491700	64	33.19	-82.53	60.98	5.82
117	Ulcinj	75	ME	1542492000	42	41.93	19.22	51.8	8.05
118	Aklavik	75	CA	1542488400	84	68.22	-135.01	-0.41	8.05
119	Cape Town	0	ZA	1542488400	59	-33.93	18.42	62.6	19.46
120	Castro	76	CL	1542493070	80	-42.48	-73.76	54.19	7.72
121	Bay City	90	US	1542492960	100	43.59	-83.89	34.16	4.7
122	Freeport	20	BS	1542488400	65	26.54	-78.7	77.0	11.41
123	Bilibino	8	RU	1542493073	70	68.06	166.44	-37.16	2.13
124	Port Elizabeth	1	US	1542491760	58	39.31	-74.98	48.02	4.7
125	Sorrento	75	AU	1542492000	72	-31.82	115.75	64.4	5.82
126	Araguaina	64	BR	1542493346	80	-7.19	-48.21	81.46	4.81
127	Tuktoyaktuk	75	CA	1542488400	84	69.44	-133.03	-2.21	17.22
128	Ilulissat	76	GL	1542491400	85	69.22	-51.1	23.0	12.75
129	Paamiut	24	GL	1542493347	99	61.99	-49.67	33.31	37.47
130	Safranbolu	56	TR	1542493347	90	41.25	32.69	32.55	1.79
131	Pozoblanco	0	ES	1542492000	93	38.38	-4.85	55.4	2.24
132	Kenai	90	US	1542491760	89	60.55	-151.26	35.96	6.93
133	Paramonga	12	PE	1542493348	97	-10.68	-77.82	64.14	12.08
134	Oyama	20	JP	1542488400	81	36.31	139.8	44.6	6.93
135	Ostrovnoy	92	RU	1542493203	97	68.05	39.51	34.17	32.66
136	Tasiilaq	92	GL	1542491400	80	65.61	-37.64	41.0	38.03
137	Leh	80	IN	1542493349	56	34.16	77.58	-16.06	1.12
138	Khatanga	88	RU	1542493121	80	71.98	102.47	4.06	8.84
139	Hamilton	90	BM	1542491700	88	32.3	-64.78	68.0	9.17
140	Georgetown	20	GY	1542492000	83	6.8	-58.16	80.6	9.17
141	Avarua	40	CK	1542492000	74	-21.21	-159.78	82.4	9.73
142	Xai-Xai	12	MZ	1542493304	96	-25.04	33.64	75.12	20.69
143	Natal	20	BR	1542492000	74	-5.81	-35.21	80.6	14.99
144	Sioux Lookout	75	CA	1542489360	66	50.1	-91.92	10.4	13.87
145	Pitogo	20	PH	1542493351	100	13.79	122.09	79.44	10.74
146	Victor Harbor	0	AU	1542492000	20	-35.55	138.62	73.4	13.87
147	Maragogi	92	BR	1542493280	87	-9.01	-35.22	78.76	10.51
148	Shangzhi	0	CN	1542493352	69	45.21	127.96	6.9	3.02
149	Clyde River	5	CA	1542488400	82	70.47	-68.59	-22.01	3.36
150	Lebu	40	ET	1542488400	82	8.96	38.73	55.4	4.7
151	Trincomalee	0	LK	1542493352	97	8.58	81.23	70.66	3.36
152	Salalah	0	OM	1542487800	74	17.01	54.1	78.8	2.24
153	Jalu	20	LY	1542493174	33	29.03	21.55	62.88	12.19
154	Chara	90	GR	1542491400	87	39.42	22.43	50.0	4.7
155	Lavumisa	44	ZA	1542493353	72	-27.31	31.88	68.95	10.96
156	Torbay	90	CA	1542490080	100	47.66	-52.73	33.8	27.51
157	Plettenberg Bay	0	ZA	1542493354	100	-34.05	23.37	60.94	3.8
158	Hovd	75	NO	1542491400	100	63.83	10.7	42.8	5.82
159	Malanje	92	AO	1542493132	95	-9.54	16.35	68.73	2.46
160	Udachnyy	32	RU	1542493335	63	66.42	112.4	-22.54	2.35
161	Nalut	92	LY	1542493355	98	31.86	10.98	53.47	4.36
162	Rosario do Sul	92	BR	1542493355	100	-30.26	-54.91	70.39	7.72
163	Borovoy	80	RU	1542493355	98	63.23	52.89	33.0	4.92
164	Acapulco	5	MX	1542491340	70	16.86	-99.88	86.0	3.36
165	Comodoro Rivadavia	40	AR	1542492000	33	-45.87	-67.48	62.6	12.75
166	Velingara	56	SN	1542493356	53	13.64	-16.01	80.34	12.75
167	Hirara	75	JP	1542490200	94	24.8	125.28	71.6	4.7
168	Atbasar	88	KZ	1542493357	90	51.81	68.36	22.2	8.5
169	Narsaq	44	GL	1542491400	86	60.91	-46.05	26.6	1.9
170	Bandarbeyla	0	SO	1542493189	100	9.49	50.81	78.72	14.32
171	Alvaraes	40	BR	1542492000	83	-3.22	-64.8	80.6	5.82
172	Assisi	40	IT	1542487800	61	43.07	12.61	48.2	14.99
173	Cururupu	0	BR	1542493073	65	-1.82	-44.87	84.12	11.18
174	Champerico	40	MX	1542490920	51	16.38	-93.6	82.4	3.13
175	Pangnirtung	0	CA	1542493178	100	66.15	-65.72	-1.84	5.37
176	Tsogni	20	GA	1542493146	95	-2.79	10.1	80.11	8.61
177	Ballina	0	IE	1542493359	94	54.11	-9.15	46.59	16.11
178	Severo-Kurilsk	44	RU	1542493130	100	50.68	156.12	35.29	14.99
179	Alenquer	0	BR	1542492000	48	-1.95	-54.74	87.8	11.41
180	Naze	20	NG	1542488400	94	5.43	7.07	78.8	5.82
181	Goias	88	BR	1542493360	95	-15.93	-50.14	74.22	4.7
182	Grindavik	90	IS	1542492000	100	63.84	-22.43	48.2	39.15
183	Inirida	64	CO	1542493361	81	3.87	-67.92	82.54	2.8
184	Moussoro	20	TD	1542493361	31	13.64	16.49	73.9	7.72
185	Tamiahua	88	MX	1542493361	100	21.28	-97.45	71.11	4.36
186	Mar del Plata	88	AR	1542493087	31	-46.43	-67.52	68.1	4.59
187	Provideniya	68	RU	1542493192	100	64.42	-173.23	33.45	18.34
188	Oistins	20	BB	1542492000	78	13.07	-59.53	80.6	14.99
189	Bluff	64	AU	1542493362	77	-23.58	149.07	72.87	8.95
190	Carndonagh	0	IE	1542493363	84	55.25	-7.27	49.69	19.69
191	Ucluelet	20	CA	1542488400	76	48.94	-125.55	51.8	3.36
192	Abancay	8	PE	1542493364	43	-13.64	-72.88	62.11	1.9
193	Kruisfontein	0	ZA	1542493109	91	-34.0	24.73	59.37	7.72
194	Pisco	0	PE	1542492000	30	-13.71	-76.2	71.6	16.11
195	Seoul	40	KR	1542492000	80	37.57	126.98	39.2	1.12
196	Nanortalik	0	GL	1542493176	94	60.14	-45.24	32.41	34.11
197	Kavaratti	88	IN	1542493365	100	10.57	72.64	79.12	13.98
198	Rawson	88	AR	1542493125	33	-43.3	-65.11	66.39	8.95
199	Tiksi	0	RU	1542493076	72	71.64	128.87	-10.66	6.38
200	Samarai	32	PG	1542493325	100	-10.62	150.67	79.8	11.86
201	Santa Elena	75	EC	1542492000	83	-2.23	-80.86	73.4	9.17
202	Sayyan	20	YE	1542493367	52	15.17	44.32	43.12	4.14
203	Sobolevo	68	RU	1542493090	94	54.43	31.9	27.24	11.63
204	Agadez	0	NE	1542493078	25	16.97	7.99	65.35	7.27
205	Huarmey	12	PE	1542493367	53	-10.07	-78.15	74.44	4.7
206	Pacific Grove	1	US	1542491700	71	36.62	-121.92	66.2	8.05
207	Mukdahan	44	TH	1542493368	86	16.54	104.73	73.09	2.91
208	Ribeirao Branco	44	BR	1542493368	63	-24.22	-48.77	76.47	9.06
209	Nemuro	24	JP	1542493081	100	43.32	145.57	42.18	13.65
210	Salinopolis	0	BR	1542493368	90	-0.61	-47.36	83.4	15.88
211	Port Macquarie	90	AU	1542492000	82	-31.43	152.91	64.4	5.82
212	New Norfolk	75	AU	1542492000	62	-42.78	147.06	55.4	5.82
213	Marsabit	8	KE	1542493369	92	2.34	37.99	68.64	2.68
214	Colinas	8	BR	1542493197	57	-6.03	-44.25	84.52	2.91
215	Biak	8	ID	1542493128	96	-0.91	122.88	78.94	2.91
216	Darque	0	PT	1542492000	59	41.68	-8.8	64.4	8.05
217	Normandin	20	CA	1542488400	62	48.84	-72.53	24.8	12.75
218	Conde	44	BR	1542493371	82	-11.81	-37.61	79.62	10.4
219	Saldanha	76	PT	1542493151	91	41.42	-6.55	45.19	4.25
220	Wuwei	0	CN	1542493262	62	37.93	102.64	2.04	2.35
221	Progreso	75	UY	1542492000	93	-34.68	-56.22	66.2	4.7
222	Bonthe	36	SL	1542493372	88	7.53	-12.5	80.02	3.58
223	Ambilobe	12	MG	1542493089	65	-13.19	49.05	76.02	10.74
224	Broken Hill	0	AU	1542493225	41	-31.97	141.45	59.82	6.04
225	Shingu	24	JP	1542493373	100	33.72	135.99	61.12	8.16
226	Acari	0	BR	1542493373	41	-6.44	-36.64	84.7	13.2
227	Abapo	8	BO	1542493373	41	-18.83	-63.47	87.0	6.15
228	Port Lincoln	0	AU	1542493094	90	-34.72	135.86	62.11	13.2
229	Craig	90	US	1542492480	84	40.52	-107.55	39.92	3.36
230	Vostok	44	RU	1542493307	63	46.45	135.83	2.58	2.13
231	Faya	0	SA	1542488400	54	18.39	42.45	59.0	4.7
232	Toora-Khem	36	RU	1542493375	60	52.47	96.11	-10.12	2.13
233	Kisangani	8	CD	1542493194	94	0.52	25.21	73.72	2.68
234	Havoysund	44	NO	1542491400	93	71.0	24.66	35.6	8.05
235	Half Moon Bay	40	US	1542491760	62	37.46	-122.43	66.2	13.87
236	Lavrentiya	76	RU	1542493064	100	65.58	-170.99	32.73	19.46
237	Pochutla	40	MX	1542491100	66	15.74	-96.47	86.0	6.71
238	Kabanjahe	40	ID	1542488400	94	3.1	98.49	77.0	2.24
239	Taman	36	RU	1542490200	100	45.22	36.72	32.0	11.18
240	Khandbari	0	NP	1542493377	69	27.38	87.21	27.64	1.57
241	Prado	8	BR	1542493377	93	-17.34	-39.22	79.57	15.21
242	Ialibu	75	PG	1542488400	93	-6.28	143.99	60.8	3.36
243	Inhambane	0	MZ	1542493091	99	-23.87	35.38	74.4	8.72
244	Hami	0	CN	1542493121	76	42.84	93.51	16.66	7.61
245	Erenhot	0	CN	1542493228	78	43.65	111.97	6.67	13.2
246	Lisala	8	CD	1542493378	90	2.15	21.52	74.89	2.57
247	Grand Gaube	40	MU	1542488400	88	-20.01	57.66	73.4	11.41
248	Letterkenny	0	IE	1542493379	92	54.95	-7.73	49.65	19.46
249	Juruti	0	BR	1542493379	44	-2.16	-56.09	91.9	4.92
250	Berezovyy	0	RU	1542493380	49	51.67	135.7	-3.64	3.47
251	Souillac	75	FR	1542492000	93	45.6	-0.6	46.4	9.17
252	Waingapu	32	ID	1542493380	97	-9.65	120.26	72.64	2.57
253	Olinda	75	EC	1542492000	58	-2.03	-79.75	84.2	3.36
254	Teahupoo	40	PF	1542492000	83	-17.83	-149.27	82.4	11.41
255	Farafangana	100	MG	1542493381	94	-22.82	47.83	76.15	13.2
256	Deputatskiy	0	RU	1542493204	32	69.3	139.9	-22.99	2.8
257	Waitati	56	NZ	1542493381	100	-45.75	170.57	50.59	4.7
258	Upernavik	88	GL	1542493070	100	72.79	-56.15	24.27	13.2
259	Katsuura	20	JP	1542489600	87	33.93	134.5	48.2	8.05
260	Yaan	68	NG	1542493185	54	7.38	8.57	85.69	11.18
261	Merauke	0	ID	1542493382	96	-8.49	140.4	77.59	11.52
262	Leshukonskoye	92	RU	1542493188	98	64.9	45.76	36.87	3.8
263	Nassau	0	DE	1542491400	86	51.17	13.51	28.4	1.12
264	Pierre	90	US	1542487980	77	44.37	-100.35	17.96	6.93
265	Tadepallegudem	92	IN	1542493383	98	16.82	81.53	73.27	2.91
266	Vila Velha	0	BR	1542492000	69	-3.71	-38.6	82.4	11.41
267	Dawlatabad	92	AF	1542493384	97	36.41	64.91	45.6	2.8
268	Molina	20	CL	1542492000	36	-35.11	-71.28	75.2	5.82
269	Walvis Bay	24	NA	1542488400	72	-22.95	14.51	62.6	12.75
270	Wilmington	1	US	1542491460	64	39.75	-75.55	48.02	8.05
271	Mansa	0	IN	1542492000	63	23.43	72.66	66.2	2.68
272	Honningsvag	12	NO	1542493086	100	70.98	25.97	35.34	7.72
273	Hudson Bay	56	CA	1542493386	74	52.86	-102.4	9.46	8.28
